user_id,mood_today,avg_mood_last_3_days,sleep_hours,sleep_quality,exercise_minutes,stress_level,screen_time,social_interaction_minutes,water_intake_liters,productivity_level,anxiety_level,mood_tomorrow_label
1,7,6.3,7.5,4,35,4,4.2,90,2.5,7,3,happy
2,4,4.7,5.5,2,0,8,9.1,20,1.2,3,8,stressed
3,6,5.4,6.8,3,20,5,6.5,60,2.0,6,5,neutral
4,3,3.2,4.9,2,10,9,10.2,15,1.0,2,9,stressed
5,8,7.6,8.2,5,45,3,3.5,120,3.0,8,2,happy
6,5,5.1,6.0,3,15,6,7.8,40,1.8,5,6,neutral
7,2,2.8,4.0,1,0,10,11.0,5,0.7,1,10,stressed
8,9,8.4,8.5,5,60,2,2.8,150,3.5,9,1,happy
9,6,6.0,7.0,4,25,4,5.1,80,2.4,6,4,neutral
10,4,4.1,5.2,2,5,8,9.3,25,1.1,3,8,stressed
11,7,6.7,7.8,4,40,3,4.0,95,2.8,7,3,happy
12,5,5.0,6.3,3,10,6,7.0,45,1.9,5,6,neutral
13,3,3.5,5.0,2,0,9,10.5,18,1.0,2,9,stressed
14,8,7.9,8.0,5,50,2,3.1,130,3.2,8,2,happy
15,6,5.8,6.9,4,30,5,5.8,70,2.2,6,5,neutral
16,2,2.5,4.4,1,0,10,11.5,8,0.8,1,10,stressed
17,9,8.6,8.7,5,70,1,2.4,160,3.8,9,1,happy
18,4,4.3,5.7,2,0,8,9.0,22,1.3,3,8,stressed
19,7,6.4,7.4,4,35,4,4.7,85,2.5,7,3,happy
20,5,5.2,6.1,3,15,6,7.6,42,1.8,5,6,neutral
21,3,3.1,4.8,2,5,9,10.1,14,1.0,2,9,stressed
22,8,7.7,8.1,5,55,2,3.2,140,3.1,8,2,happy
23,6,5.9,6.7,4,25,5,6.0,75,2.3,6,5,neutral
24,4,4.0,5.3,2,0,8,9.6,30,1.2,3,8,stressed
25,9,8.2,8.4,5,65,2,2.9,155,3.6,9,1,happy
26,5,5.3,6.2,3,20,6,7.2,50,2.0,5,6,neutral
27,2,2.7,4.2,1,0,10,11.2,6,0.7,1,10,stressed
28,7,6.6,7.9,4,40,3,4.3,100,2.7,7,3,happy
29,6,5.6,6.5,3,15,5,6.7,65,2.1,6,5,neutral
30,3,3.4,4.7,2,0,9,10.4,12,0.9,2,9,stressed
31,8,7.8,8.0,5,50,2,3.0,135,3.0,8,2,happy
32,4,4.4,5.8,2,0,8,9.4,24,1.4,3,8,stressed
33,6,5.5,6.6,3,20,5,6.4,72,2.2,6,5,neutral
34,2,2.9,4.1,1,0,10,11.3,7,0.8,1,10,stressed
35,9,8.5,8.8,5,75,1,2.2,170,3.9,9,1,happy
36,5,5.0,6.0,3,10,6,7.9,40,1.7,5,6,neutral
37,3,3.0,4.6,2,0,9,10.7,15,1.0,2,9,stressed
38,8,7.6,8.2,5,55,2,3.4,145,3.3,8,2,happy
39,6,5.7,6.8,4,25,5,5.9,78,2.4,6,5,neutral
40,4,4.2,5.4,2,0,8,9.2,28,1.2,3,8,stressed
41,7,6.5,7.6,4,35,4,4.5,92,2.6,7,3,happy
42,5,5.1,6.2,3,15,6,7.3,47,1.9,5,6,neutral
43,2,2.6,4.3,1,0,10,11.6,9,0.7,1,10,stressed
44,9,8.3,8.5,5,70,2,2.6,165,3.7,9,1,happy
45,6,6.1,7.1,4,30,4,5.2,88,2.5,6,4,neutral
46,4,4.0,5.5,2,0,8,9.7,21,1.3,3,8,stressed
47,8,7.9,8.3,5,60,2,3.0,150,3.2,8,2,happy
48,5,5.4,6.4,3,20,6,7.1,55,2.0,5,6,neutral
49,3,3.3,4.9,2,0,9,10.6,16,1.1,2,9,stressed
50,7,6.8,7.8,4,45,3,4.1,110,2.9,7,3,happy
